book	chapter	verse	text	lemma	pos	case	gender	animacy	number	definiteness	degree	strength	verbform	tense	mood	aspect	voice	person	polarity	politeness	clusivity	evidentiality	strength
Genesis	1	4	vidit	vidit	verb	-	-	-	singular	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	4	Deus	Deus	proper_noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	4	lucem	lux	noun	accusative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	4	quod	quod	subordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	4	esset	sum	auxiliary	-	-	-	singular	-	-	-	finite	past	subjunctive	imperfective	active	third	-	-	-	-	-
Genesis	1	4	bona	bonus	adjective	nominative	feminine	-	singular	-	positive	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	4	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	4	divisit	dieo	verb	-	-	-	singular	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	4	lucem	lux	noun	accusative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	4	ac	atque	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	4	tenebras	tenebra	noun	accusative	feminine	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	4	;	;	punctuation	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	5	appellavitque	appello	verb	-	-	-	singular	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	5	lucem	lux	noun	accusative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	5	diem	dies	noun	accusative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	5	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	5	tenebras	tenebra	noun	accusative	feminine	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	5	noctem	nox	noun	accusative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	5	factumque	facto	verb	nominative	neuter	-	singular	-	positive	-	participle	past	-	perfective	passive	-	-	-	-	-	-
Genesis	1	5	est	sum	auxiliary	-	-	-	singular	-	-	-	finite	present	indicative	-	active	third	-	-	-	-	-
Genesis	1	5	vespere	vespere	noun	nominative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	5	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	5	mane	mane	noun	nominative	-	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	5	dies	dies	noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	5	unus	unus	numeral	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	5	;	;	punctuation	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	6	dixit	dico	verb	-	-	-	singular	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	6	quoque	quoque	subordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	6	Deus	Deus	proper_noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	6	fiat	facio	verb	-	-	-	singular	-	-	-	finite	present	subjunctive	imperfective	passive	third	-	-	-	-	-
Genesis	1	6	firmamentum	firmamentum	noun	nominative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	6	in	in	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	6	medio	medius	adjective	ablative	neuter	-	singular	-	positive	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	6	aquarum	aqua	noun	genitive	feminine	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	6	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	6	dividat	dividat	verb	-	-	-	singular	-	-	-	finite	present	subjunctive	imperfective	active	third	-	-	-	-	-
Genesis	1	6	aquas	aqua	noun	accusative	feminine	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	6	ab	ab	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	6	aquis	aquis	noun	ablative	feminine	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	6	;	;	punctuation	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	fecit	facio	verb	-	-	-	singular	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	7	Deus	Deus	proper_noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	firmamentum	firmamentum	noun	accusative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	divisitque	discio	verb	-	-	-	plural	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	7	aquas	aqua	noun	accusative	feminine	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	quae	qui	pronoun	nominative	feminine	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	erant	sum	verb	-	-	-	plural	-	-	-	finite	past	indicative	imperfective	active	third	-	-	-	-	-
Genesis	1	7	sub	sub	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	firmamento	firmamentum	noun	ablative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	ab	ab	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	his	hic	pronoun	ablative	neuter	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	quae	qui	pronoun	nominative	neuter	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	erant	sum	verb	-	-	-	plural	-	-	-	finite	past	indicative	imperfective	active	third	-	-	-	-	-
Genesis	1	7	super	super	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	firmamentum	firmamentum	noun	accusative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	factum	facio	verb	nominative	neuter	-	singular	-	positive	-	participle	past	-	perfective	passive	-	-	-	-	-	-
Genesis	1	7	est	sum	auxiliary	-	-	-	singular	-	-	-	finite	present	indicative	-	active	third	-	-	-	-	-
Genesis	1	7	ita	ita	adverb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	7	;	;	punctuation	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	8	vocavitque	vocavitque	verb	-	-	-	singular	-	-	-	finite	future	indicative	imperfective	active	third	-	-	-	-	-
Genesis	1	8	Deus	Deus	proper_noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	8	firmamentum	firmamentum	noun	accusative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	8	caelum	caelum	noun	accusative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	8	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	8	factum	facio	verb	nominative	neuter	-	singular	-	positive	-	participle	past	-	perfective	passive	-	-	-	-	-	-
Genesis	1	8	est	sum	auxiliary	-	-	-	singular	-	-	-	finite	present	indicative	-	active	third	-	-	-	-	-
Genesis	1	8	vespere	vespere	noun	nominative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	8	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	8	mane	mane	noun	nominative	-	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	8	dies	dies	noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	8	secundus	secundus	adjective	nominative	masculine	-	singular	-	positive	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	8	;	;	punctuation	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	9	dixit	dico	verb	-	-	-	singular	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	9	vero	vero	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	9	Deus	Deus	proper_noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	9	congregentur	congrego	verb	-	-	-	plural	-	-	-	finite	present	subjunctive	imperfective	passive	third	-	-	-	-	-
Genesis	1	9	aquae	aqua	noun	nominative	feminine	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	9	quae	qui	pronoun	nominative	feminine	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	9	sub	sub	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	9	caelo	caelum	noun	ablative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	9	sunt	sum	verb	-	-	-	plural	-	-	-	finite	present	indicative	imperfective	active	third	-	-	-	-	-
Genesis	1	9	in	in	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	9	locum	locus	noun	accusative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	9	unum	unus	numeral	accusative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	9	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	9	appareat	appareo	verb	-	-	-	singular	-	-	-	finite	present	subjunctive	imperfective	active	third	-	-	-	-	-
Genesis	1	9	arida	aridus	adjective	nominative	feminine	-	singular	-	positive	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	9	factumque	facto	verb	nominative	neuter	-	singular	-	positive	-	participle	past	-	perfective	passive	-	-	-	-	-	-
Genesis	1	9	est	sum	auxiliary	-	-	-	singular	-	-	-	finite	present	indicative	-	active	third	-	-	-	-	-
Genesis	1	9	ita	ita	adverb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	9	;	;	punctuation	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	10	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	10	vocavit	vocavit	verb	-	-	-	singular	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	10	Deus	Deus	proper_noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	10	aridam	aridus	adjective	accusative	feminine	-	singular	-	positive	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	10	terram	terra	noun	accusative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	10	congregationesque	congregatio	noun	accusative	feminine	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	10	aquarum	aqua	noun	genitive	feminine	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	10	appellavit	appello	verb	-	-	-	singular	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	10	maria	maria	proper_noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	10	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	10	vidit	vidit	verb	-	-	-	singular	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	10	Deus	Deus	proper_noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	10	quod	quod	subordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	10	esset	sum	auxiliary	-	-	-	singular	-	-	-	finite	past	subjunctive	imperfective	active	third	-	-	-	-	-
Genesis	1	10	bonum	bonum	noun	nominative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	10	;	;	punctuation	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	ait	aio	verb	-	-	-	singular	-	-	-	finite	present	indicative	imperfective	active	third	-	-	-	-	-
Genesis	1	11	germinet	germino	verb	-	-	-	singular	-	-	-	finite	present	subjunctive	imperfective	active	third	-	-	-	-	-
Genesis	1	11	terra	terra	noun	nominative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	herbam	herba	noun	accusative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	virentem	virentem	verb	accusative	feminine	-	singular	-	positive	-	participle	present	-	imperfective	active	-	-	-	-	-	-
Genesis	1	11	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	facientem	facio	verb	accusative	feminine	-	singular	-	positive	-	participle	present	-	imperfective	active	-	-	-	-	-	-
Genesis	1	11	semen	semen	noun	accusative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	lignum	lignum	noun	accusative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	pomiferum	pomifer	adjective	accusative	neuter	-	singular	-	positive	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	faciens	facio	verb	nominative	neuter	-	singular	-	positive	-	participle	present	-	imperfective	active	-	-	-	-	-	-
Genesis	1	11	fructum	fructus	noun	accusative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	iuxta	iuxta	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	genus	genus	noun	accusative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	suum	suus	determiner	accusative	neuter	-	singular	-	-	-	-	-	-	-	-	psor	-	-	-	-	-
Genesis	1	11	cuius	qui	pronoun	genitive	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	semen	semen	noun	nominative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	in	in	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	semet	se	pronoun	ablative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	ipso	ipse	pronoun	ablative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	sit	sum	verb	-	-	-	singular	-	-	-	finite	present	subjunctive	imperfective	active	third	-	-	-	-	-
Genesis	1	11	super	super	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	terram	terra	noun	accusative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	factum	facio	verb	nominative	neuter	-	singular	-	positive	-	participle	past	-	perfective	passive	-	-	-	-	-	-
Genesis	1	11	est	sum	auxiliary	-	-	-	singular	-	-	-	finite	present	indicative	-	active	third	-	-	-	-	-
Genesis	1	11	ita	ita	adverb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	11	;	;	punctuation	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	protulit	profero	verb	-	-	-	singular	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	12	terra	terra	noun	ablative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	herbam	herba	noun	accusative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	virentem	virentem	verb	accusative	feminine	-	singular	-	positive	-	participle	present	-	imperfective	active	-	-	-	-	-	-
Genesis	1	12	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	adferentem	adfero	verb	accusative	feminine	-	singular	-	positive	-	participle	present	-	imperfective	active	-	-	-	-	-	-
Genesis	1	12	semen	semen	noun	accusative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	iuxta	iuxta	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	genus	genus	noun	accusative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	suum	suus	determiner	accusative	neuter	-	singular	-	-	-	-	-	-	-	-	psor	-	-	-	-	-
Genesis	1	12	lignumque	lignumque	noun	accusative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	faciens	facio	verb	nominative	neuter	-	singular	-	positive	-	participle	present	-	imperfective	active	-	-	-	-	-	-
Genesis	1	12	fructum	fructus	noun	accusative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	habens	habeo	verb	nominative	neuter	-	singular	-	positive	-	participle	present	-	imperfective	active	-	-	-	-	-	-
Genesis	1	12	unumquodque	unusquisque	pronoun	accusative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	sementem	sementis	noun	accusative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	secundum	secundum	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	speciem	species	noun	accusative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	suam	suus	determiner	accusative	feminine	-	singular	-	-	-	-	-	-	-	-	psor	-	-	-	-	-
Genesis	1	12	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	vidit	vidit	verb	-	-	-	singular	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	12	Deus	Deus	proper_noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	quod	quod	subordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	esset	sum	auxiliary	-	-	-	singular	-	-	-	finite	past	subjunctive	imperfective	active	third	-	-	-	-	-
Genesis	1	12	bonum	bonum	noun	nominative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	12	;	;	punctuation	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	13	factumque	facto	verb	nominative	neuter	-	singular	-	positive	-	participle	past	-	perfective	passive	-	-	-	-	-	-
Genesis	1	13	est	sum	auxiliary	-	-	-	singular	-	-	-	finite	present	indicative	-	active	third	-	-	-	-	-
Genesis	1	13	vespere	vespere	adverb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	13	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	13	mane	mane	adverb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	13	dies	dies	noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	13	tertius	tertius	adjective	nominative	masculine	-	singular	-	positive	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	13	;	;	punctuation	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	14	dixit	dico	verb	-	-	-	singular	-	-	-	finite	past	indicative	perfective	active	third	-	-	-	-	-
Genesis	1	14	autem	autem	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	14	Deus	Deus	proper_noun	nominative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	14	fiant	facio	verb	-	-	-	plural	-	-	-	finite	present	subjunctive	imperfective	passive	third	-	-	-	-	-
Genesis	1	14	luminaria	luminare	noun	nominative	neuter	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	14	in	in	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	14	firmamento	firmamentum	noun	ablative	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	14	caeli	caelum	noun	genitive	neuter	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	14	ut	ut	subordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	14	dividant	dividant	verb	-	-	-	plural	-	-	-	finite	present	subjunctive	imperfective	active	third	-	-	-	-	-
Genesis	1	14	diem	dies	noun	accusative	masculine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	14	ac	atque	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	14	noctem	nox	noun	accusative	feminine	-	singular	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	14	et	et	coordinating_conjunction	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	14	sint	sum	verb	-	-	-	plural	-	-	-	finite	present	subjunctive	imperfective	active	third	-	-	-	-	-
Genesis	1	14	in	in	adposition	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Genesis	1	14	signa	signum	noun	accusative	neuter	-	plural	-	-	-	-	-	-	-	-	-	-	-	-	-	-
